Name,domain,Address,Website,source_city,sub_city,state,status,reason
Foxtail Coffee Co.- Buckhead,foxtailcoffee.com,"3699 Lenox Rd NE Suite 1, Atlanta, GA 30305",https://www.foxtailcoffee.com/locations/foxtail-coffee-buckhead,Atlanta,Atlanta,GA,accepted,
Firelight Coffee Roasters,firelightcoffee.com,"3800 Wendell Dr SW #105, Atlanta, GA 30336",https://firelightcoffee.com/,Atlanta,Atlanta,GA,accepted,
Rev Coffee,revcoffee.com,"1680 Spring Rd SE B, Smyrna, GA 30080",http://www.revcoffee.com/,Atlanta,Atlanta,GA,accepted,
Two Jays Coffee Roasters,twojayscoffee.com,"1341 Capital Cir # C, Marietta, GA 30067",http://www.twojayscoffee.com/,Atlanta,Atlanta,GA,accepted,
Rex Coffee Roasters,rexcoffee.com,"1435 Bluegrass Lakes Pkwy Suite 160, Alpharetta, GA 30004",https://rexcoffee.com/,Atlanta,Atlanta,GA,accepted,
Café Clément,cafeclement.com,"1438 Canton Rd, Marietta, GA 30066",http://www.cafeclement.com/,Atlanta,Atlanta,GA,accepted,
Apotheos Roastery,apotheosroastery.com,"2871 Cherokee St NW, Kennesaw, GA 30144",https://www.apotheosroastery.com/,Atlanta,Atlanta,GA,accepted,
Radio Roasters Coffee,radioroasters.com,"2969 E Ponce de Leon Ave Suite 320, Decatur, GA 30030",http://radioroasters.com/,Atlanta,Atlanta,GA,accepted,
Refuge Coffee Co. Clarkston,refugecoffeeco.com,"4170 E Ponce de Leon Ave NE, Clarkston, GA 30021",http://www.refugecoffeeco.com/,Atlanta,Atlanta,GA,accepted,
Kin Coffee Co.,kincoffeeco.com,"5352 Peachtree Rd, Chamblee, GA 30341",https://www.kincoffeeco.com/,Atlanta,Atlanta,GA,accepted,
Warm Waves Coffee House,warmwavescoffee.com,"52-A S Main St, Alpharetta, GA 30009",https://warmwavescoffee.com/,Atlanta,Atlanta,GA,accepted,
FiNCA TO FiLTER O4W,finca.coffee,"652 Angier Ave NE Suite A, Atlanta, GA 30308",https://www.finca.coffee/,Atlanta,Atlanta,GA,accepted,
Summit Coffee Roswell,summitcoffee.com,"585 Atlanta St, Roswell, GA 30075",https://www.summitcoffee.com/roswell,Atlanta,Atlanta,GA,accepted,
Artifex Coffee,artifexcoffees.com,"1815 Hembree Rd Unit 208, Alpharetta, GA 30009",https://artifexcoffees.com/,Atlanta,Atlanta,GA,accepted,
Lucky Goat Coffee - Dunwoody Park,luckygoatcoffee.com,"Dunwoody Park Suite 300, Dunwoody, GA 30338",https://luckygoatcoffee.com/pages/dunwoody-park,Atlanta,Atlanta,GA,accepted,
RAANI COFFEE ROASTERS,raanicoffee.com,"720 Moreland Ave SE Ste B, Atlanta, GA 30316",http://www.raanicoffee.com/,Atlanta,Atlanta,GA,accepted,
Volcanica Coffee,volcanicacoffee.com,"4110 Tench Rd Suite H, Suwanee, GA 30024",https://volcanicacoffee.com/,Atlanta,Atlanta,GA,accepted,
Dancing Goats Coffee Decatur,dancinggoats.com,"419 W Ponce de Leon Ave, Decatur, GA 30030",https://www.dancinggoats.com/pages/dancing-goats-coffee-bar,Atlanta,Decatur,GA,accepted,
ChocoLaté Coffee,mychocolatecoffee.com,"2094 N Decatur Rd, Decatur, GA 30033",http://www.mychocolatecoffee.com/,Atlanta,Decatur,GA,accepted,
PERC,perccoffee.com,"2380 Hosea L Williams Dr NE, Atlanta, GA 30317",http://perccoffee.com/,Atlanta,Decatur,GA,accepted,
The River Coffee Company,rivercoffee.co,"101 N Main St, Decatur, IL 62523",http://rivercoffee.co/,Atlanta,Decatur,GA,accepted,
Depot by Kaldi's Coffee,kaldiscoffee.com,"1 Eagle Row, Atlanta, GA 30322",http://kaldiscoffee.com/pages/the-depot,Atlanta,Decatur,GA,accepted,
Marquis Coffee Roasters,marquisbeverage.com,"1234 W Cerro Gordo St, Decatur, IL 62522",https://marquisbeverage.com/,Atlanta,Decatur,GA,accepted,
Try-Me Coffee Roasters,trymecoffeeroasters.com,"1014 France St, New Orleans, LA 70117",http://trymecoffeeroasters.com/,Atlanta,Decatur,GA,accepted,
River Roasters Coffee Company,riverroasters.co,"102 W Main St, Pomeroy, OH 45769",http://riverroasters.co/,Atlanta,Decatur,GA,accepted,
Voltage Coffee Project,voltagecoffeeproject.com,"110 N Trinity St, Decatur, TX 76234",https://voltagecoffeeproject.com/,Atlanta,Decatur,GA,accepted,
Domestique Coffee Roaster - (NOT A COFFEE SHOP) Production Facility,domestiquecoffee.com,"3017 6th Ave S, Birmingham, AL 35233",https://domestiquecoffee.com/,Atlanta,Decatur,GA,accepted,
Anytime Coffee,anytimecoffee.com,"471 Sessions St NW, Marietta, GA 30060",http://anytimecoffee.com/,Atlanta,Marietta,GA,accepted,
COF& Specialty Coffee Shop,colcofy.com,"1600 Kennesaw Due West Rd NW #307, Kennesaw, GA 30152",https://colcofy.com/,Atlanta,Marietta,GA,accepted,
Scooter's Coffee,scooterscoffee.com,"2943 Canton Rd #1600, Marietta, GA 30066",https://scooterscoffee.com/,Atlanta,Marietta,GA,accepted,
Joe's Coffee House,joescoffeehouse.com,"1831 W Oak Pkwy # C, Marietta, GA 30062",http://joescoffeehouse.com/,Atlanta,Marietta,GA,accepted,
Cips Coffee Roasters,cipscoffeeroasters.com,"2780 W Village Dr Suite B, Suwanee, GA 30024",http://www.cipscoffeeroasters.com/,Atlanta,Alpharetta,GA,accepted,
Thrive Farmers International,thrivefarmers.com,"215 Hembree Park Dr # 100, Roswell, GA 30076",https://thrivefarmers.com/,Atlanta,Alpharetta,GA,accepted,
Brash Coffee,brashcoffee.com,"6290 Halcyon Way, Alpharetta, GA 30005",https://brashcoffee.com/,Atlanta,Alpharetta,GA,accepted,
Kava Coffee Company,kavacoffee.com,"1435 Bluegrass Lakes Pkwy Suite 120, Alpharetta, GA 30004",https://kavacoffee.com/,Atlanta,Alpharetta,GA,accepted,
The Human Bean,thehumanbean.com,"2000 Holcomb Bridge Rd, Roswell, GA 30076",https://thehumanbean.com/blogs/stores/ga-roswell-holcomb-bridge-road,Atlanta,Alpharetta,GA,accepted,
Degenerate Coffee Co.,degeneratecoffee.com,"304 N Richardson Ave, Roswell, NM 88201",https://www.degeneratecoffee.com/,Atlanta,Roswell,GA,accepted,
King Krane Coffee Co.,kingkranecoffee.co,"300 Colonial Center Pkwy, Roswell, GA 30076",http://kingkranecoffee.co/,Atlanta,Roswell,GA,accepted,
Blue Donkey Coffee,bluedonkeycoffee.com,"3280 Peachtree Rd NE #140b, Atlanta, GA 30305",https://www.bluedonkeycoffee.com/buckhead,Atlanta,Buckhead,GA,accepted,
Magnífico Coffee Roasters & Coffee Shop,magnificocoffee.com,"3063 N Milwaukee Ave, Chicago, IL 60618",https://www.magnificocoffee.com/,Chicago,Chicago,IL,accepted,
Coffee Lab & Roasters,coffeelablakeview.com,"2823 N Lincoln Ave, Chicago, IL 60657",http://coffeelablakeview.com/,Chicago,Chicago,IL,accepted,
Dark Matter Coffee - The Mothership,darkmattercoffee.com,"738 N Western Ave, Chicago, IL 60612",http://www.darkmattercoffee.com/,Chicago,Chicago,IL,accepted,
Hexe Coffee Co.,hexecoffee.com,"2000 W Diversey Pkwy, Chicago, IL 60614",http://hexecoffee.com/,Chicago,Chicago,IL,accepted,
Sparrow Coffee Roastery,sparrowcoffee.com,"2040 W Fulton St, Chicago, IL 60612",http://www.sparrowcoffee.com/,Chicago,Chicago,IL,accepted,
Roast 808,roast808.com,"3350 Salt Creek Ln #115, Arlington Heights, IL 60005",https://www.roast808.com/,Chicago,Chicago,IL,accepted,
Printer's Row Coffee Co.,printersrowcoffeeco.com,"2482 N Lincoln Ave, Chicago, IL 60614",http://www.printersrowcoffeeco.com/,Chicago,Chicago,IL,accepted,
Sputnik Coffee Company,sputnikcoffeecompany.com,"2618 W 48th St, Chicago, IL 60632",https://www.sputnikcoffeecompany.com/,Chicago,Chicago,IL,accepted,
Tugboat Coffee,tugboatcoffee.com,"151 S Rohlwing Rd, Addison, IL 60101",http://www.tugboatcoffee.com/,Chicago,Chicago,IL,accepted,
Gost Coffee Roasters,gostcoffee.com,"1333 S Schoolhouse Rd, New Lenox, IL 60451",http://gostcoffee.com/,Chicago,Chicago,IL,accepted,
Reprise Coffee Roasters,repriseroasters.com,"710 Main St, Evanston, IL 60202",http://www.repriseroasters.com/,Chicago,Chicago,IL,accepted,
Stivers Coffee,stiverscoffee.biz,"2215 S Union Ave, Chicago, IL 60616",https://www.stiverscoffee.biz/,Chicago,Chicago,IL,accepted,
The Roasterie - Metropolis Coffee Company,metropoliscoffee.com,"3057 N Rockwell St Building 1, Chicago, IL 60618",https://www.metropoliscoffee.com/,Chicago,Chicago,IL,accepted,
Heady Cup Coffee Roasters,headycup.com,"4127 W Orleans St, McHenry, IL 60050",https://headycup.com/,Chicago,Chicago,IL,accepted,
CBC Roasters,cbcroasters.com,"541 W Golf Rd, Arlington Heights, IL 60005",https://www.cbcroasters.com/,Chicago,Chicago,IL,accepted,
I Have a Bean,ihaveabean.com,"655 Childs St, Wheaton, IL 60187",http://www.ihaveabean.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Chicago,Chicago,IL,accepted,
Just Be Coffee Roasters,justbe.coffee,"400 Fisher St unit e, Munster, IN 46321",http://justbe.coffee/,Chicago,Chicago,IL,accepted,
Veteran Roasters Cafe,veteranroasters.com,"161 N Clark St suite 140 / Lobby, Chicago, IL 60601",https://www.veteranroasters.com/,Chicago,Chicago,IL,accepted,
Ceramic Coffee Roasters,ceramiccoffee.co,"N Bernard St, Chicago, IL 60625",https://ceramiccoffee.co/,Chicago,Chicago,IL,accepted,
Ixxa Coffee Roasters,ixxacoffee.com,"1720 Calumet Ave, Hammond, IN 46394",https://www.ixxacoffee.com/,Chicago,Chicago,IL,accepted,
Happy Monday Coffee Roasters,happymondaycoffee.com,"1307 W Hollywood Ave, Chicago, IL 60660",http://www.happymondaycoffee.com/,Chicago,Chicago,IL,accepted,
Soloway coffee,solowaycoffee.com,"2275 N Lincoln Ave, Chicago, IL 60614",http://www.solowaycoffee.com/,Chicago,Chicago,IL,accepted,
SEY Coffee,sey.coffee,"18 Grattan St, Brooklyn, NY 11206",https://sey.coffee/,Chicago,Chicago,IL,accepted,
"Modest Coffee, Inc.",modest.coffee,"245 W Roosevelt Rd Bldg. 2 Ste. 15, West Chicago, IL 60185",http://www.modest.coffee/,Chicago,Chicago,IL,accepted,
Big Shoulders Coffee,bigshoulderscoffee.com,"213 W Lake St, Chicago, IL 60606",http://www.bigshoulderscoffee.com/,Chicago,Chicago,IL,accepted,
Hansa Coffee Roasters,hansacoffee.com,"755 N Milwaukee Ave, Libertyville, IL 60048",http://www.hansacoffee.com/,Chicago,Chicago,IL,accepted,
Mojo Coffee,us.mojo.coffee,"190 S LaSalle St, Chicago, IL 60603",http://us.mojo.coffee/,Chicago,Chicago,IL,accepted,
Passion House Coffee Roasters - Roastery,passionhousecoffee.com,"328 N Albany Ave Ste 101, Chicago, IL 60612",http://www.passionhousecoffee.com/,Chicago,Chicago,IL,accepted,
Intelligentsia,intelligentsia.com,"53 E Randolph St, Chicago, IL 60601",https://www.intelligentsia.com/pages/millennium-park-coffeebar,Chicago,Chicago,IL,accepted,
Chicago French Press at Roosevelt Collection,chicagofrenchpress.com,"1021 S Delano Ct, Chicago, IL 60605",https://chicagofrenchpress.com/,Chicago,Chicago,IL,accepted,
Standing Wave Coffee,standingwavecoffee.com,"2024 Sarah St, Pittsburgh, PA 15203",https://www.standingwavecoffee.com/,Chicago,Chicago,IL,accepted,
3rd Wave Coffee Roasters,3rdwavecoffee.com,"215 W King St #3, St. Augustine, FL 32084",https://3rdwavecoffee.com/,Chicago,Chicago,IL,accepted,
Groundswell Coffee Roasters,groundswellcoffeeroasters.com,"4839 N Damen Ave, Chicago, IL 60625",http://www.groundswellcoffeeroasters.com/,Chicago,Chicago,IL,accepted,
Brü Coffeeworks,brucoffeeworks.com,"3005 W Lawrence Ave, Chicago, IL 60625",http://brucoffeeworks.com/,Chicago,Chicago,IL,accepted,
Ground Up Coffee & Bites,groundupchicago.com,"363 W Erie St, Chicago, IL 60654",http://www.groundupchicago.com/,Chicago,Chicago,IL,accepted,
Colectivo Coffee Lincoln Park,colectivo.com,"2530 N Clark St, Chicago, IL 60614",https://colectivo.com/pages/lincoln-park,Chicago,Chicago,IL,accepted,
Caffe Umbria,caffeumbria.com,"346 N Clark St UNIT 4709, Chicago, IL 60654",http://www.caffeumbria.com/,Chicago,Chicago,IL,accepted,
Sloan Coffee Roasting,sloancoffee.com,"482 Uvedale Rd, Riverside, IL 60546",http://sloancoffee.com/,Chicago,Chicago,IL,accepted,
Qamaria Yemeni Coffee Co.,qamariacoffee.com,"9970 S Ridgeland Ave, Chicago Ridge, IL 60415",https://www.qamariacoffee.com/,Chicago,Chicago,IL,accepted,
Maple Leaf Coffee Roasters (Roaster Location),mapleleafroasters.com,"352 Irving Park Rd, Roselle, IL 60172",https://mapleleafroasters.com/,Chicago,Chicago,IL,accepted,
La Colombe Coffee Workshop,lacolombe.com,"955 W Randolph St, Chicago, IL 60607",https://www.lacolombe.com/pages/cafes/randolph?utm_source=google&utm_medium=organic&utm_campaign=gbp,Chicago,Chicago,IL,accepted,
Backlot Coffee,backlotcoffee.com,"3982 N Avondale Ave, Chicago, IL 60641",http://backlotcoffee.com/,Chicago,Chicago,IL,accepted,
Fresh Coast Coffee Co.,freshcoast.coffee,"Evanston, IL 60201",http://freshcoast.coffee/,Chicago,Evanston,IL,accepted,
Newport Coffee House,newport-coffee.com,"622 Davis St, Evanston, IL 60201",http://www.newport-coffee.com/,Chicago,Evanston,IL,accepted,
Idyll Coffee Roasters,idyllcoffeeroasters.com,"6330 W North Ave, Wauwatosa, WI 53213",https://www.idyllcoffeeroasters.com/,Chicago,Evanston,IL,accepted,
Belux Coffee Roswell,beluxcoffee.com,"1055 Alpharetta St Ste 1800, Roswell, GA 30075",http://www.beluxcoffee.com/,Chicago,Evanston,IL,accepted,
Philz Coffee,philzcoffee.com,"1030 Davis St, Evanston, IL 60201",https://philzcoffee.com/locations/evanston?utm_source=gmb&utm_medium=yext,Chicago,Evanston,IL,accepted,
JumpinGoat Coffee Roasters,jumpingoatcoffeeroasters.com,"7086 S Main St, Helen, GA 30545",https://www.jumpingoatcoffeeroasters.com/,Chicago,Evanston,IL,accepted,
Break Coffee Roasters,breakroasters.com,"3122 Hill St NW, Duluth, GA 30096",https://breakroasters.com/pages/duluth,Chicago,Evanston,IL,accepted,
Tala Coffee Roasters - Winnetka Cafe,talacoffeeroasters.com,"93 Green Bay Rd, Winnetka, IL 60093",https://talacoffeeroasters.com/,Chicago,Evanston,IL,accepted,
Alchemy Coffee & Bake House,alchemycoffeehouse.com,"416 Linden Ave #2845, Wilmette, IL 60091",https://www.alchemycoffeehouse.com/,Chicago,Evanston,IL,accepted,
"Dragon Fire Coffee Roasters, Inc.",dragonfirecoffeeroasters.com,"30W250 Butterfield Rd # 311, Warrenville, IL 60555",http://dragonfirecoffeeroasters.com/,Chicago,Evanston,IL,accepted,
Great Circle Coffee Roasters (Wholesale),greatcirclecoffee.com,"382 NE 56th St, Miami, FL 33137",http://www.greatcirclecoffee.com/,Chicago,Evanston,IL,accepted,
BCBC COFFEE ROASTERS,bcbccoffeeroasters.com,"2823 N Lincoln Ave, Chicago, IL 60657",http://bcbccoffeeroasters.com/,Chicago,Evanston,IL,accepted,
Clancy Brothers Coffee Roasters,clancybroscoffee.com,"19931 Wolf Rd, Mokena, IL 60448",http://www.clancybroscoffee.com/,Chicago,Evanston,IL,accepted,
Haraz Coffee House,harazcoffeehouse.com,"7007 W Dempster St, Niles, IL 60714",https://harazcoffeehouse.com/,Chicago,Evanston,IL,accepted,
Krema Coffee Roasters,kremacoffeeroasters.com,"6700 South St, Tinley Park, IL 60477",https://kremacoffeeroasters.com/,Chicago,Evanston,IL,accepted,
Valentine Coffee Roasters Third Ward,valentinecoffeeco.com,"189 N Milwaukee St, Milwaukee, WI 53202",https://www.valentinecoffeeco.com/,Chicago,Evanston,IL,accepted,
Texas Artisan Roasters,texasartisanroasters.com,"1937 I 35 N Frontage Rd ste 108, New Braunfels, TX 78130",https://texasartisanroasters.com/,Chicago,Evanston,IL,accepted,
Sirius Coffee Roasters,store.siriusroasters.com,"610 W Main St, Lexington, IL 61753",https://store.siriusroasters.com/,Chicago,Evanston,IL,accepted,
La Terza Artisan Coffee Roasterie,laterzacoffee.com,"9176 Winton Rd, Cincinnati, OH 45231",https://www.laterzacoffee.com/,Chicago,Evanston,IL,accepted,
Kribi Coffee Air Roastery,kribicoffee.com,"149 Forest Ave, Oak Park, IL 60301",http://www.kribicoffee.com/,Chicago,Oak Park,IL,accepted,
Sabbath Coffee Roasters,sabbathcoffeeroasters.com,"24 E 14 Mile Rd, Clawson, MI 48017",https://sabbathcoffeeroasters.com/,Chicago,Oak Park,IL,accepted,
Kazkara Coffee Roasters,kazkara.com,"21818 John R Rd, Hazel Park, MI 48030",https://kazkara.com/,Chicago,Oak Park,IL,accepted,
Philosophy Coffee,philosophycoffee.com,"7650 Industrial Dr, Forest Park, IL 60130",https://www.philosophycoffee.com/,Chicago,Oak Park,IL,accepted,
Opo Coffee,opocoffee.com,"314 E Howard Ave, Decatur, GA 30030",http://opocoffee.com/,Chicago,Oak Park,IL,accepted,
Naked Coffee Roasting & Café,nakedcoffee.net,"3527 Broadway, Sacramento, CA 95817",http://www.nakedcoffee.net/,Chicago,Oak Park,IL,accepted,
Flywheel Coffee Roasters,flywheelcoffee.com,"672 Stanyan St, San Francisco, CA 94117",https://flywheelcoffee.com/,Chicago,Oak Park,IL,accepted,
Silver Oak Coffee Ltd,silveroakcoffee.co.uk,"1a Saxon Business Park, Littleport, ELY CB6 1XX, United Kingdom",http://www.silveroakcoffee.co.uk/,Chicago,Oak Park,IL,accepted,
Black Oak Coffee Roasters,blackoakhealdsburg.com,"324 Center St, Healdsburg, CA 95448",https://blackoakhealdsburg.com/,Chicago,Oak Park,IL,accepted,
Steel Oak Coffee,steeloakcoffee.com,"187 S Yonge St, Ormond Beach, FL 32174",http://www.steeloakcoffee.com/,Chicago,Oak Park,IL,accepted,
Ragamuffin Coffee Roasters,ragamuffinroasters.com,"111 N Reino Rd, Newbury Park, CA 91320",http://www.ragamuffinroasters.com/,Chicago,Oak Park,IL,accepted,
Academy Coffee,academycoffeeatl.com,"1019 Virginia Ave NE, Atlanta, GA 30306",http://academycoffeeatl.com/,Chicago,Oak Park,IL,accepted,
Burning Oaks Coffee Company,burningoaks.coffee,"101 Clay Pike, Irwin, PA 15642",https://burningoaks.coffee/,Chicago,Oak Park,IL,accepted,
Enderly Coffee Co. Cafe & Coffee Roaster,enderlycoffee.com,"2620 Tuckaseegee Rd, Charlotte, NC 28208",http://enderlycoffee.com/,Chicago,Oak Park,IL,accepted,
Brewpoint Coffee - Founder's Cafe,brewpointcoffee.com,"124 W Park Ave, Elmhurst, IL 60126",http://www.brewpointcoffee.com/,Chicago,Oak Park,IL,accepted,
Dessert Oasis Coffee Roasters Royal Oak,docr.coffee,"115 S Main St, Royal Oak, MI 48067",http://docr.coffee/,Chicago,Oak Park,IL,accepted,
Third Coast Coffee,thirdcoastcoffee.com,"10515 Old Manchaca Rd, Austin, TX 78748",http://www.thirdcoastcoffee.com/,Chicago,Oak Park,IL,accepted,
The Office Coffee Shop,theofficecoffeeshop.com,"402 S Lafayette Ave, Royal Oak, MI 48067",http://theofficecoffeeshop.com/,Chicago,Oak Park,IL,accepted,
Vereda Central Coffee Roasters,veredacentral.ca,"310 Kerr St, Oakville, ON L6K 3B5, Canada",http://www.veredacentral.ca/,Chicago,Oak Park,IL,accepted,
Kinship Roasters,kinship.coffee,"16955 Forest Rd Ste G, Forest, VA 24551",http://kinship.coffee/,Chicago,Oak Park,IL,accepted,
Ritual Coffee Roasters,ritualcoffee.com,"1026 Valencia St, San Francisco, CA 94110",http://ritualcoffee.com/,Chicago,Oak Park,IL,accepted,
Oakley Artisan Roasters,oakleyartisanroasters.com,"2901 Robertson Ave, Cincinnati, OH 45209",http://oakleyartisanroasters.com/,Chicago,Oak Park,IL,accepted,
Live Oak Coffee Roasters,liveoak.coffee,"713-4 Ashman St, Midland, MI 48640",http://liveoak.coffee/,Chicago,Oak Park,IL,accepted,
Mighty Oak Roasters,mightyoakroasters.com,"28-01 24th Ave, Queens, NY 11102",http://mightyoakroasters.com/,Chicago,Oak Park,IL,accepted,
Golden Valley Coffee Roasters,goldenvalleyfarms.com,"208 Carter Dr Suite 13B, West Chester, PA 19382",http://www.goldenvalleyfarms.com/,Chicago,Oak Park,IL,accepted,
Martini Coffee Roasters,martinicoffee.com,"10S279 Schoger Dr, Naperville, IL 60564",https://www.martinicoffee.com/,Chicago,Naperville,IL,accepted,
Spiritus Coffee Co.,spirituscoffee.com,"Open By Appointment Only, 1106 N Main St, Lombard, IL 60148",http://spirituscoffee.com/,Chicago,Naperville,IL,accepted,
Gun Barrel Coffee,gunbarrelcoffee.com,"411 Stevens St, Geneva, IL 60134",http://www.gunbarrelcoffee.com/,Chicago,Naperville,IL,accepted,
North Central College - The Coffee Lab,northcentralcoffeelab.com,"Larrance Academic Building, 309 School St, Naperville, IL 60540",https://northcentralcoffeelab.com/,Chicago,Naperville,IL,accepted,
Two Brothers Coffee Roasters,twobrotherscoffeeroasters.com,"30W315 Calumet Ave W, Warrenville, IL 60555",http://www.twobrotherscoffeeroasters.com/,Chicago,Naperville,IL,accepted,
Coroco Coffee Roaster Collective,corococoffee.com,"224 S California St, Sycamore, IL 60178",https://corococoffee.com/,Chicago,Naperville,IL,accepted,
Endiro Coffee Roastery,endirocoffee.com,"213 S River St, Aurora, IL 60506",http://www.endirocoffee.com/,Chicago,Naperville,IL,accepted,
High Noon Coffee Roasters,highnooncoffee.com,"191 Charlotte St #101, Asheville, NC 28801",https://highnooncoffee.com/,Chicago,Naperville,IL,accepted,
Pirates of Coffee,piratesofcoffee.com,"6740 Davand Dr Unit-7, Mississauga, ON L5T 2K9, Canada",https://piratesofcoffee.com/,Chicago,Naperville,IL,accepted,
Qahwah House Coffee - Lombard,qahwahhouse.com,"406 E Roosevelt Rd, Lombard, IL 60148",http://www.qahwahhouse.com/,Chicago,Naperville,IL,accepted,
AlHamawi Roastery & Coffee (Bridgeview),alhamawiusa.com,"8417 S Harlem Ave, Bridgeview, IL 60455",https://alhamawiusa.com/pages/order-drinks-pickup,Chicago,Naperville,IL,accepted,
Peet's Coffee,peets.com,"686 E Ogden Ave, Naperville, IL 60563","https://www.peets.com/pages/store-locator?stockist-query=Naperville,%20IL,%20USA&selected=Naperville%20-%20Ogden",Chicago,Naperville,IL,accepted,
Five & Hoek Coffee,fiveandhoek.com,"112 B N Main St, Wheaton, IL 60187",http://www.fiveandhoek.com/,Chicago,Naperville,IL,accepted,
Artisan Coffee,artisancoffee.us,"662 Canton Rd, Akron, OH 44312",http://www.artisancoffee.us/,Chicago,Naperville,IL,accepted,
Arcedium Coffeehouse,arcedium.com,"60 Indiana St, St. Charles, IL 60174",http://www.arcedium.com/,Chicago,Naperville,IL,accepted,
The Libertyville Coffee Company,libertyvillecoffee.com,"527 3rd St, Libertyville, IL 60048",http://libertyvillecoffee.com/,Chicago,Naperville,IL,accepted,
Snowdrift Coffee Roasters (By Appointment Only),snowdriftcoffee.com,"11128 Hamborg Rd, Roscoe, IL 61073",http://www.snowdriftcoffee.com/,Chicago,Naperville,IL,accepted,
Ghost Coffee Roaster,ghostcoffeeroaster.com,"750 W Stadium Ave, West Lafayette, IN 47906",http://ghostcoffeeroaster.com/,Chicago,Naperville,IL,accepted,
Glissade Coffee Company,glissadecoffee.com,"2520 Galena St Unit 3, Aurora, CO 80010",https://www.glissadecoffee.com/,Chicago,Aurora,IL,accepted,
Conscious Cup Coffee Roasters - Palatine,consciouscup.com,"137 W Wood St, Palatine, IL 60067",https://consciouscup.com/pages/stores/palatine,Chicago,Schaumburg,IL,accepted,
FreshGround Roasting,freshgroundroast.com,"51 S Grove Ave, Elgin, IL 60120",https://freshgroundroast.com/,Chicago,Schaumburg,IL,accepted,
Mosaic Coffee Roasters,mosaicroasters.com,"727 W Commercial St Suite B, Springfield, MO 65803",https://www.mosaicroasters.com/,Chicago,Schaumburg,IL,accepted,
Gregorys Coffee,gregoryscoffee.com,"5 Woodfield Mall, Schaumburg, IL 60173",https://gregoryscoffee.com/,Chicago,Schaumburg,IL,accepted,
"Gracefully Coffee Roasters, Inc.",gracefullycoffee.com,"2601 Rolling Rd. #104, Windsor Mill, MD 21244",http://www.gracefullycoffee.com/,Chicago,Schaumburg,IL,accepted,
